kdkec;kddesa;nmdesa;stat_pem
010;001;SANGTOMBOLANG;DESA
010;002;SAMPIRO;DESA
010;003;SANGKUB I;DESA
010;004;SANGKUB II;DESA
010;005;SANGKUB III;DESA
010;006;TOMBOLANGO;DESA
010;007;BUSISINGO;DESA
010;008;PANGKUSA;DESA
010;009;SIDODADI;DESA
010;010;BUSISINGO UTARA;DESA
010;011;SANGKUB IV;DESA
010;012;APENG SEMBEKA;DESA
010;013;SANGKUB TIMUR;DESA
010;014;MONOMPIA;DESA
010;015;SUKA MAKMUR;DESA
010;016;MOKUSATO;DESA
020;001;MOME;DESA
020;002;HUNTUK;DESA
020;003;PIMPI;DESA
020;004;BUNIA;DESA
020;005;KOPI;DESA
020;006;BINTAUNA PANTAI;DESA
020;007;MINANGA;DESA
020;008;BATULINTIK;DESA
020;009;BINTAUNA;KELURAHAN
020;010;TALAGA;DESA
020;011;VOA A;DESA
020;012;PADANG;DESA
020;013;KUHANGA;DESA
020;014;BUNONG;DESA
020;015;PADANG BARAT;DESA
020;016;VAHUTA;DESA
030;001;MOKODITEK I;DESA
030;002;MOKODITEK;DESA
030;003;NUNUKA;DESA
030;004;SALEO;DESA
030;005;BINUANGA;DESA
030;006;BOHABAK IV;DESA
030;007;BOHABAK II;DESA
030;008;BOHABAK I;DESA
030;009;BOHABAK III;DESA
030;010;BINJEITA;DESA
030;011;BINJEITA I;DESA
030;012;BINJEITA II;DESA
030;013;BIONTONG;DESA
030;014;BIONTONG II;DESA
030;015;BIONTONG I;DESA
030;016;SALEO I;DESA
030;017;NAGARA;DESA
030;018;TANJUNG LABUO;DESA
030;019;BINUNI;DESA
030;020;LIPU BOGU;DESA
040;001;PAKU;DESA
040;002;OLLOT II;DESA
040;003;OLLOT;DESA
040;004;OLLOT I;DESA
040;005;SONUO;DESA
040;006;WAKAT;DESA
040;007;TOTE;DESA
040;008;IYOK;DESA
040;009;LANGI;DESA
040;010;JAMBU SARANG;DESA
040;011;TALAGA TUMOAGU;DESA
040;012;BOLANGITANG;DESA
040;013;BOLANGITANG I;DESA
040;014;BOLANGITANG II;DESA
040;015;TALAGA;DESA
040;016;PAKU SELATAN;DESA
040;017;KEIMANGA;DESA
040;018;TANJUNG BUAYA;DESA
050;001;KOMUS DUA;DESA
050;002;SOLO;DESA
050;003;INOMUNGA;DESA
050;004;BOROKO;DESA
050;005;BOROKO TIMUR;DESA
050;006;BIGO;DESA
050;007;KUALA;DESA
050;008;PONTAK;DESA
050;009;KUALA UTARA;DESA
050;010;KOMUS DUA TIMUR;DESA
050;011;INOMUNGA UTARA;DESA
050;012;BIGO SELATAN;DESA
050;013;SOLIGIR;DESA
050;014;BOROKO UTARA;DESA
050;015;GIHANG;DESA
060;001;BUSATO;DESA
060;002;KAYUOGU;DESA
060;003;BATU BANTAYO;DESA
060;004;TONTULOW;DESA
060;005;TOMBULANG;DESA
060;006;BUKO;DESA
060;007;BUKO SELATAN;DESA
060;008;DALAPULI;DESA
060;009;BATUTAJAM;DESA
060;010;DENGI;DESA
060;011;TUNTUNG;DESA
060;012;KOMUS I;DESA
060;013;TANJUNG SIDUPA;DESA
060;014;TONTULOW UTARA;DESA
060;015;BUKO UTARA;DESA
060;016;DALAPULI BARAT;DESA
060;017;DALAPULI TIMUR;DESA
060;018;TOMBULANG TIMUR;DESA
060;019;TOMBULANG PANTAI;DESA
060;020;DUINI;DESA
060;021;TUNTUNG TIMUR;DESA
060;022;PADANGO;DESA
